Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT1G58090	AT1G58090.1	""	NA	F-box and associated interaction domains-containing protein
AT1G58100	AT1G58100.1	AtTCP8	1	TCP family transcription factor
AT1G58110	AT1G58110.1	""	0.80122	Basic-leucine zipper (bZIP) transcription factor family protein
AT1G58120	AT1G58120.1	""	NA	hypothetical protein
AT1G58150	AT1G58150.1	""	NA	phosphoglycerate kinase
AT1G58160	AT1G58160.1	JAX1	1	jacalin lectin-like protein
AT1G58170	AT1G58170.1	""	NA	Disease resistance-responsive (dirigent-like protein) family protein
AT1G58180	AT1G58180.2	ATBCA6	0.203153	beta carbonic anhydrase 6
AT1G58190	AT1G58190.2	AtRLP9	1	receptor like protein 9
AT1G58200	AT1G58200.1	MSL3	1	MSCS-like 3
AT1G58210	AT1G58210.1	EMB1674	NA	EMBRYO DEFECTIVE protein
AT1G58220	AT1G58220.1	""	NA	Homeodomain-like superfamily protein
AT1G58225	AT1G58225.1	""	1	hypothetical protein
AT1G58230	AT1G58230.1	BCHB	1	binding protein
AT1G58235	AT1G58235.1	""	NA	hypothetical protein
AT1G58242	AT1G58242.1	""	NA	Plant thionin family protein
AT1G58245	AT1G58245.1	""	NA	Plant thionin family protein
AT1G58248	AT1G58248.1	""	NA	Plant thionin family protein
AT1G58250	AT1G58250.2	HPS4	0.928755	HYPERSENSITIVE TO PI STARVATION 4
AT1G58260	AT1G58260.1	CYP79C2	NA	cytochrome p450 79c2
AT1G58265	AT1G58265.1	""	NA	Cytochrome P450 superfamily protein
AT1G58270	AT1G58270.1	ZW9	1	TRAF-like family protein
AT1G58280	AT1G58280.2	""	1	Phosphoglycerate mutase family protein
AT1G58290	AT1G58290.1	AtHEMA1	NA	Glutamyl-tRNA reductase family protein
AT1G58300	AT1G58300.1	HO4	NA	heme oxygenase 4
AT1G58310	AT1G58310.1	""	NA	F-box/RNI-like superfamily protein
AT1G58320	AT1G58320.1	""	NA	PLAC8 family protein
AT1G58330	AT1G58330.1	ZW2	NA	transcription factor-like protein
AT1G58340	AT1G58340.1	ABS4	NA	MATE efflux family protein
AT1G58350	AT1G58350.1	ZW18	0.510842	Putative serine esterase family protein
AT1G58360	AT1G58360.1	AAP1	NA	amino acid permease 1
AT1G58370	AT1G58370.1	ATXYN1	1	glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein
AT1G58380	AT1G58380.1	XW6	NA	Ribosomal protein S5 family protein
AT1G58390	AT1G58390.1	""	NA	Disease resistance protein (CC-NBS-LRR class) family
AT1G58400	AT1G58400.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G58410	AT1G58410.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G58420	AT1G58420.1	""	NA	Uncharacterized conserved protein UCP031279
AT1G58430	AT1G58430.1	RXF26	NA	GDSL-like Lipase/Acylhydrolase family protein
AT1G58440	AT1G58440.1	DRY2	1	FAD/NAD(P)-binding oxidoreductase family protein
AT1G58450	AT1G58450.1	TPR6	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G58460	AT1G58460.1	""	NA	hypothetical protein
AT1G58470	AT1G58470.1	ATRBP1	NA	RNA-binding protein 1
AT1G58520	AT1G58520.2	RXW8	1	GDSL-like lipase/acylhydrolase superfamily protein
AT1G58602	AT1G58602.1	""	0.213134	LRR and NB-ARC domains-containing disease resistance protein
AT1G58643	AT1G58643.1	""	NA	Inositol-pentakisphosphate 2-kinase family protein
AT1G58684	AT1G58684.1	""	NA	Ribosomal protein S5 family protein
AT1G58725	AT1G58725.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G58766	AT1G58766.1	""	NA	B-block-binding subunit of TFIIIC protein
AT1G58807	AT1G58807.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G58848	AT1G58848.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G58936	AT1G58936.1	""	NA	Inositol-pentakisphosphate 2-kinase family protein
AT1G58983	AT1G58983.1	""	NA	Ribosomal protein S5 family protein
AT1G59030	AT1G59030.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G59077	AT1G59077.1	""	NA	B-block-binding subunit of TFIIIC protein
AT1G59124	AT1G59124.1	""	NA	Disease resistance protein (CC-NBS-LRR class) family
AT1G59171	AT1G59171.1	""	NA	Inositol-pentakisphosphate 2-kinase family protein
AT1G59218	AT1G59218.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G59312	AT1G59312.1	""	NA	Inositol-pentakisphosphate 2-kinase family protein
AT1G59359	AT1G59359.1	""	NA	Ribosomal protein S5 family protein
AT1G59406	AT1G59406.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G59453	AT1G59453.1	""	NA	B-block-binding subunit of TFIIIC protein
AT1G59500	AT1G59500.1	GH3.4	NA	Auxin-responsive GH3 family protein
AT1G59510	AT1G59510.1	CF9	NA	Carbohydrate-binding protein
AT1G59520	AT1G59520.3	CW7	0.833776	CW7
AT1G59530	AT1G59530.1	ATBZIP4	NA	basic leucine-zipper 4
AT1G59540	AT1G59540.1	ZCF125	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G59550	AT1G59550.1	""	NA	UBX domain-containing protein
AT1G59560	AT1G59560.1	DAL2	1	E3 Ubiquitin ligase family protein
AT1G59580	AT1G59580.1	ATMPK2	1	mitogen-activated protein kinase homolog 2
AT1G59590	AT1G59590.1	ZCF37	NA	ZCF37
AT1G59600	AT1G59600.1	ZCW7	1	ZCW7
AT1G59610	AT1G59610.1	ADL3	0.018753	dynamin-like 3
AT1G59620	AT1G59620.1	CW9	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G59630	AT1G59630.1	""	NA	F-box associated ubiquitination effector family protein
AT1G59640	AT1G59640.2	BPE	1	transcription factor BIG PETAL P (BPE)
AT1G59650	AT1G59650.1	CW14	1	CW14 protein (DUF1336)
AT1G59660	AT1G59660.1	DRAL	NA	Nucleoporin autopeptidase
AT1G59670	AT1G59670.1	ATGSTU15	NA	glutathione S-transferase TAU 15
AT1G59675	AT1G59675.1	""	NA	F-box family protein
AT1G59680	AT1G59680.1	EDA1	NA	F-box associated ubiquitination effector family protein
AT1G59690	AT1G59690.1	""	NA	F-box associated ubiquitination effector family protein
AT1G59700	AT1G59700.1	ATGSTU16	NA	glutathione S-transferase TAU 16
AT1G59710	AT1G59710.1	""	1	actin cross-linking protein (DUF569)
AT1G59720	AT1G59720.1	CRR28	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G59722	AT1G59722.1	""	NA	hypothetical protein
AT1G59725	AT1G59725.1	""	NA	DNAJ heat shock family protein
AT1G59730	AT1G59730.1	ATH7	NA	thioredoxin H-type 7
AT1G59740	AT1G59740.1	AtNPF4.3	1	Major facilitator superfamily protein
AT1G59750	AT1G59750.1	ARF1	1	auxin response factor 1
AT1G59760	AT1G59760.1	AtMTR4	1	RNA helicase, ATP-dependent, SK12/DOB1 protein
AT1G59780	AT1G59780.1	""	NA	NB-ARC domain-containing disease resistance protein
AT1G59790	AT1G59790.1	""	NA	Cullin family protein
AT1G59800	AT1G59800.1	""	NA	Cullin family protein
AT1G59810	AT1G59810.1	AGL50	NA	AGAMOUS-like 50
AT1G59820	AT1G59820.1	ALA3	1	aminophospholipid ATPase 3
AT1G59830	AT1G59830.1	PP2A-1	1	protein phosphatase 2A-2
AT1G59833	AT1G59833.1	""	NA	Defensin-like (DEFL) family protein
AT1G59835	AT1G59835.1	""	NA	DNA-directed RNA polymerase II subunit RPB1-like protein
AT1G59840	AT1G59840.1	CCB4	1	cofactor assembly of complex C
AT1G59850	AT1G59850.1	""	1	ARM repeat superfamily protein
AT1G59860	AT1G59860.1	""	NA	HSP20-like chaperones superfamily protein
AT1G59865	AT1G59865.1	""	1	transmembrane protein
AT1G59870	AT1G59870.1	ABCG36	1	ABC-2 and Plant PDR ABC-type transporter family protein
AT1G59885	AT1G59885.1	""	NA	hypothetical protein
AT1G59890	AT1G59890.2	SNL5	0.528711	SIN3-like 5
AT1G59900	AT1G59900.1	AT-E1 ALPHA	0.325744	pyruvate dehydrogenase complex E1 alpha subunit
AT1G59910	AT1G59910.1	FORMIN7	NA	Actin-binding FH2 (formin homology 2) family protein
AT1G59920	AT1G59920.1	""	NA	MADS-box family protein
AT1G59930	AT1G59930.1	""	NA	MADS-box family protein
AT1G59940	AT1G59940.1	ARR3	1	response regulator 3
AT1G59950	AT1G59950.1	""	NA	NAD(P)-linked oxidoreductase superfamily protein
AT1G59960	AT1G59960.1	""	NA	NAD(P)-linked oxidoreductase superfamily protein
AT1G59970	AT1G59970.1	AT5-MMP	NA	Matrixin family protein
AT1G59980	AT1G59980.1	ARL2	NA	ARG1-like 2
AT1G59990	AT1G59990.1	EMB3108	1	DEA(D/H)-box RNA helicase family protein
AT1G60000	AT1G60000.1	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G60010	AT1G60010.1	""	NA	D-ribose-binding periplasmic protein
AT1G60030	AT1G60030.1	ATNAT7	NA	nucleobase-ascorbate transporter 7
AT1G60040	AT1G60040.1	AGL49	NA	AGAMOUS-like 49
AT1G60050	AT1G60050.1	UMAMIT35	NA	Nodulin MtN21 /EamA-like transporter family protein
AT1G60060	AT1G60060.1	""	7.7e-05	Serine/threonine-protein kinase WNK (With No Lysine)-like protein
AT1G60070	AT1G60070.2	""	0.040429	Adaptor protein complex AP-1, gamma subunit
AT1G60080	AT1G60080.1	""	1	3-5-exoribonuclease family protein
AT1G60090	AT1G60090.1	BGLU4	1	beta glucosidase 4
AT1G60095	AT1G60095.1	""	NA	Mannose-binding lectin superfamily protein
AT1G60110	AT1G60110.1	""	1	Mannose-binding lectin superfamily protein
AT1G60130	AT1G60130.1	""	1	Mannose-binding lectin superfamily protein
AT1G60140	AT1G60140.1	ATTPS10	0.536421	trehalose phosphate synthase
AT1G60160	AT1G60160.1	KT12	NA	Potassium transporter family protein
AT1G60170	AT1G60170.1	emb1220	NA	pre-mRNA processing ribonucleoprotein binding region-containing protein
AT1G60190	AT1G60190.1	AtPUB19	NA	ARM repeat superfamily protein
AT1G60200	AT1G60200.1	RBM25	0.779254	splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein
AT1G60220	AT1G60220.1	OTS1	0.460532	UB-like protease 1D
AT1G60230	AT1G60230.1	""	0.001699	Radical SAM superfamily protein
AT1G60240	AT1G60240.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60250	AT1G60250.1	BBX26	NA	B-box zinc finger family protein
AT1G60260	AT1G60260.1	BGLU5	0.838729	beta glucosidase 5
AT1G60270	AT1G60270.1	BGLU6	1	beta glucosidase 6
AT1G60280	AT1G60280.1	ANAC023	NA	NAC domain containing protein 23
AT1G60300	AT1G60300.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60320	AT1G60320.1	""	NA	Toll-Interleukin-Resistance (TIR) domain family protein
AT1G60340	AT1G60340.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60350	AT1G60350.1	anac024	NA	NAC domain containing protein 24
AT1G60360	AT1G60360.1	""	NA	RING/U-box superfamily protein
AT1G60370	AT1G60370.1	KUK	NA	F-box and associated interaction domains-containing protein
AT1G60380	AT1G60380.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60390	AT1G60390.1	PG1	NA	polygalacturonase 1
AT1G60400	AT1G60400.1	""	NA	F-box/RNI-like superfamily protein
AT1G60410	AT1G60410.1	""	NA	F-box family protein
AT1G60420	AT1G60420.1	AtNRX1	0.63466	DC1 domain-containing protein
AT1G60430	AT1G60430.1	ARPC3	1	actin-related protein C3
AT1G60440	AT1G60440.1	ATCOAA	0.543136	pantothenate kinase 1
AT1G60450	AT1G60450.1	AtGolS7	NA	galactinol synthase 7
AT1G60460	AT1G60460.1	MTOPVIB	1	hypothetical protein
AT1G60470	AT1G60470.1	AtGolS4	NA	galactinol synthase 4
AT1G60490	AT1G60490.1	ATVPS34	0.779062	vacuolar protein sorting 34
AT1G60500	AT1G60500.1	DRP4C	NA	Dynamin related protein 4C
AT1G60530	AT1G60530.1	DRP4A	1	Dynamin related protein 4A
AT1G60550	AT1G60550.1	DHNS	0.758644	enoyl-CoA hydratase/isomerase D
AT1G60560	AT1G60560.1	""	1	SWIM zinc finger family protein
AT1G60570	AT1G60570.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT1G60590	AT1G60590.1	""	1	Pectin lyase-like superfamily protein
AT1G60600	AT1G60600.2	ABC4	1	UbiA prenyltransferase family protein
AT1G60610	AT1G60610.1	""	1	SBP (S-ribonuclease binding protein) family protein
AT1G60620	AT1G60620.1	ATRPAC43	0.015175	RNA polymerase I subunit 43
AT1G60625	AT1G60625.1	RALFL6	NA	RALF-like 6
AT1G60630	AT1G60630.1	""	NA	Leucine-rich repeat protein kinase family protein
AT1G60640	AT1G60640.1	""	1	stress response protein
AT1G60650	AT1G60650.1	AtRZ-1b	1	RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain-containing protein
AT1G60660	AT1G60660.1	ATCB5LP	NA	cytochrome B5-like protein
AT1G60670	AT1G60670.2	""	1	hypothetical protein (DUF3755)
AT1G60680	AT1G60680.1	""	NA	NAD(P)-linked oxidoreductase superfamily protein
AT1G60690	AT1G60690.1	""	1	NAD(P)-linked oxidoreductase superfamily protein
AT1G60700	AT1G60700.1	""	NA	SMAD/FHA domain-containing protein
AT1G60710	AT1G60710.1	ATB2	7.7e-05	NAD(P)-linked oxidoreductase superfamily protein
AT1G60720	AT1G60720.1	""	NA	RNA-directed DNA polymerase (reverse transcriptase)-related family protein
AT1G60730	AT1G60730.3	""	1	NAD(P)-linked oxidoreductase superfamily protein
AT1G60740	AT1G60740.1	""	1	Thioredoxin superfamily protein
AT1G60750	AT1G60750.1	""	0.166264	NAD(P)-linked oxidoreductase superfamily protein
AT1G60760	AT1G60760.1	""	NA	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G60770	AT1G60770.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G60780	AT1G60780.1	AP1M2	0.354213	Clathrin adaptor complexes medium subunit family protein
AT1G60783	AT1G60783.1	""	NA	cyclin-dependent kinase inhibitor SMR2-like protein
AT1G60790	AT1G60790.1	TBL2	NA	trichome birefringence-like protein (DUF828)
AT1G60800	AT1G60800.1	AtNIK3	1	NSP-interacting kinase 3
AT1G60810	AT1G60810.1	ACLA-2	NA	ATP-citrate lyase A-2
AT1G60815	AT1G60815.1	RALFL7	NA	RALF-like 7
AT1G60830	AT1G60830.1	""	NA	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G60850	AT1G60850.2	AAC42	1	DNA-directed RNA polymerase family protein
AT1G60860	AT1G60860.1	AGD2	1	ARF-GAP domain 2
AT1G60870	AT1G60870.1	MEE9	0.409891	maternal effect embryo arrest 9
AT1G60880	AT1G60880.1	AGL56	NA	AGAMOUS-like-56
AT1G60890	AT1G60890.2	""	1	Phosphatidylinositol-4-phosphate 5-kinase family protein
AT1G60900	AT1G60900.1	ATU2AF65B	0.315828	U2 snRNP auxilliary factor, large subunit, splicing factor
AT1G60913	AT1G60913.1	""	NA	Rapid alkalinization factor (RALF) family protein
AT1G60920	AT1G60920.1	AGL55	NA	AGAMOUS-like 55
AT1G60930	AT1G60930.1	ATRECQ4B	1	RECQ helicase L4B
AT1G60940	AT1G60940.1	SNRK2-10	0.006465	SNF1-related protein kinase 2.10
AT1G60950	AT1G60950.1	ATFD2	1	2Fe-2S ferredoxin-like superfamily protein
AT1G60960	AT1G60960.1	ATIRT3	NA	iron regulated transporter 3
AT1G60970	AT1G60970.1	""	1	SNARE-like superfamily protein
AT1G60980	AT1G60980.1	ATGA20OX4	NA	gibberellin 20-oxidase 4
AT1G60983	AT1G60983.1	SCRL8	NA	SCR-like 8
AT1G60985	AT1G60985.1	SCRL6	NA	SCR-like 6
AT1G60986	AT1G60986.1	SCRL4	NA	SCR-like 4
AT1G60987	AT1G60987.1	SCRL5	NA	SCR-like 5
AT1G60989	AT1G60989.1	SCRL7	1	SCR-like 7
AT1G60990	AT1G60990.1	IBA57.2	0.817068	Glycine cleavage T-protein family
AT1G60995	AT1G60995.1	""	1	S3 self-incompatibility locus-linked pollen protein
AT1G61000	AT1G61000.1	NUF2	1	kinetochore protein
AT1G61010	AT1G61010.1	CPSF73-I	1	cleavage and polyadenylation specificity factor 73-I
AT1G61030	AT1G61030.1	AtWAPL2	0.779062	WAPL (Wings apart-like protein regulation of heterochromatin) protein
AT1G61040	AT1G61040.1	VIP5	1	plus-3 domain-containing protein
AT1G61050	AT1G61050.1	""	NA	alpha 1,4-glycosyltransferase family protein
AT1G61060	AT1G61060.1	""	NA	F-box family protein
AT1G61065	AT1G61065.1	""	1	1,3-beta-glucan synthase component (DUF1218)
AT1G61070	AT1G61070.1	LCR66	NA	low-molecular-weight cysteine-rich 66
AT1G61080	AT1G61080.1	""	NA	Hydroxyproline-rich glycoprotein family protein
AT1G61090	AT1G61090.1	""	NA	hypothetical protein
AT1G61093	AT1G61093.1	""	NA	hypothetical protein
AT1G61095	AT1G61095.1	""	NA	hypothetical protein
AT1G61097	AT1G61097.1	""	NA	Expressed protein
AT1G61100	AT1G61100.1	""	0.635461	disease resistance protein (TIR class)
AT1G61105	AT1G61105.1	""	NA	Toll-Interleukin-Resistance (TIR) domain family protein
AT1G61110	AT1G61110.1	anac025	NA	NAC domain containing protein 25
AT1G61120	AT1G61120.1	GES	1	terpene synthase 04
AT1G61130	AT1G61130.1	SCPL32	NA	serine carboxypeptidase-like 32
AT1G61140	AT1G61140.1	EDA16	0.225163	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT1G61150	AT1G61150.1	""	1	LisH and RanBPM domains containing protein
AT1G61160	AT1G61160.1	""	NA	retrotransposon gag
AT1G61165	AT1G61165.1	""	NA	hypothetical protein
AT1G61170	AT1G61170.1	""	NA	hypothetical protein
AT1G61180	AT1G61180.2	UNI	1	LRR and NB-ARC domains-containing disease resistance protein
AT1G61190	AT1G61190.1	""	1	LRR and NB-ARC domains-containing disease resistance protein
AT1G61200	AT1G61200.1	""	NA	homeobox-leucine zipper protein-like protein
AT1G61210	AT1G61210.1	DWA3	0.040588	Transducin/WD40 repeat-like superfamily protein
AT1G61215	AT1G61215.1	BRD4	NA	bromodomain 4
AT1G61230	AT1G61230.1	""	NA	Mannose-binding lectin superfamily protein
AT1G61240	AT1G61240.1	""	1	lysine ketoglutarate reductase trans-splicing-like protein (DUF707)
AT1G61250	AT1G61250.1	AtSCAMP1	1	secretory carrier 3
AT1G61255	AT1G61255.1	""	NA	hypothetical protein
AT1G61260	AT1G61260.1	""	0.997482	cotton fiber (DUF761)
AT1G61270	AT1G61270.1	""	1	Transmembrane amino acid transporter family protein
AT1G61280	AT1G61280.1	""	NA	Phosphatidylinositol N-acetylglucosaminyltransferase, GPI19/PIG-P subunit
AT1G61290	AT1G61290.1	ATSYP124	NA	syntaxin of plants 124
AT1G61300	AT1G61300.1	""	1	LRR and NB-ARC domains-containing disease resistance protein
AT1G61310	AT1G61310.1	""	NA	LRR and NB-ARC domains-containing disease resistance protein
AT1G61320	AT1G61320.1	""	NA	FBD / Leucine Rich Repeat domains containing protein
AT1G61330	AT1G61330.1	""	NA	FBD, F-box and Leucine Rich Repeat domains containing protein
AT1G61340	AT1G61340.2	AtFBS1	NA	F-box family protein
AT1G61350	AT1G61350.1	""	NA	ARM repeat superfamily protein
AT1G61360	AT1G61360.1	""	1	S-locus lectin protein kinase family protein
AT1G61370	AT1G61370.1	""	1	S-locus lectin protein kinase family protein
AT1G61380	AT1G61380.1	LORE	NA	S-domain-1 29
AT1G61390	AT1G61390.1	""	NA	S-locus lectin protein kinase family protein
AT1G61400	AT1G61400.1	""	1	S-locus lectin protein kinase family protein
AT1G61410	AT1G61410.1	""	NA	DNA double-strand break repair and VJ recombination XRCC4
AT1G61415	AT1G61415.1	""	1	CAP-gly domain linker
AT1G61420	AT1G61420.1	""	1	S-locus lectin protein kinase family protein
AT1G61430	AT1G61430.1	""	1	S-locus lectin protein kinase family protein
AT1G61440	AT1G61440.1	""	1	S-locus lectin protein kinase family protein
AT1G61450	AT1G61450.1	""	1	CAP-gly domain linker
AT1G61460	AT1G61460.1	""	0.705202	G-type lectin S-receptor-like Serine/Threonine-kinase
AT1G61470	AT1G61470.1	""	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT1G61475	AT1G61475.1	""	NA	ATP binding / protein kinase
AT1G61480	AT1G61480.1	""	NA	S-locus lectin protein kinase family protein
AT1G61490	AT1G61490.1	""	0.12485	S-locus lectin protein kinase family protein
AT1G61500	AT1G61500.1	""	NA	S-locus lectin protein kinase family protein
AT1G61520	AT1G61520.1	LHCA3	7.7e-05	PSI type III chlorophyll a/b-binding protein
AT1G61540	AT1G61540.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT1G61550	AT1G61550.1	""	NA	S-locus lectin protein kinase family protein
AT1G61560	AT1G61560.1	ATMLO6	1	Seven transmembrane MLO family protein
AT1G61563	AT1G61563.1	AtRALFL8	NA	ralf-like 8
AT1G61566	AT1G61566.1	RALFL9	NA	ralf-like 9
AT1G61570	AT1G61570.1	TIM13	NA	translocase of the inner mitochondrial membrane 13
AT1G61575	AT1G61575.1	""	NA	Serine/Threonine kinase
AT1G61580	AT1G61580.1	ARP2	1	R-protein L3 B
AT1G61590	AT1G61590.1	""	NA	Protein kinase superfamily protein
AT1G61600	AT1G61600.1	""	1	DUF1262 family protein (DUF1262)
AT1G61610	AT1G61610.1	""	NA	S-locus lectin protein kinase family protein
AT1G61620	AT1G61620.1	CSU1	NA	phosphoinositide binding protein
AT1G61630	AT1G61630.1	ATENT7	NA	equilibrative nucleoside transporter 7
AT1G61640	AT1G61640.1	""	1	Protein kinase superfamily protein
AT1G61660	AT1G61660.1	AtbHLH112	0.832284	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G61667	AT1G61667.1	""	1	serine protease, putative (Protein of unknown function, DUF538)
AT1G61670	AT1G61670.1	""	1	Lung seven transmembrane receptor family protein
AT1G61680	AT1G61680.1	ATTPS14	NA	terpene synthase 14
AT1G61688	AT1G61688.1	""	NA	Defensin-like (DEFL) family protein
AT1G61690	AT1G61690.1	""	NA	phosphoinositide binding protein
AT1G61700	AT1G61700.1	""	NA	RNA polymerases N / 8 kDa subunit
AT1G61710	AT1G61710.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT1G61720	AT1G61720.1	BAN	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT1G61730	AT1G61730.1	""	NA	DNA-binding storekeeper protein-related transcriptional regulator
AT1G61740	AT1G61740.1	""	0.392109	Sulfite exporter TauE/SafE family protein
AT1G61750	AT1G61750.1	""	NA	Receptor-like protein kinase-related family protein
AT1G61760	AT1G61760.1	""	NA	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT1G61770	AT1G61770.1	""	1	Chaperone DnaJ-domain superfamily protein
AT1G61780	AT1G61780.1	""	1	postsynaptic protein-like protein
AT1G61790	AT1G61790.1	ARTUMES	NA	Oligosaccharyltransferase complex/magnesium transporter family protein
AT1G61795	AT1G61795.1	""	NA	PAK-box/P21-Rho-binding family protein
AT1G61800	AT1G61800.1	ATGPT2	1	glucose-6-phosphate/phosphate translocator 2
AT1G61810	AT1G61810.3	BGLU45	1	beta-glucosidase 45
AT1G61820	AT1G61820.1	BGLU46	1	beta glucosidase 46
AT1G61840	AT1G61840.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT1G61850	AT1G61850.1	""	1	phospholipase A I-like protein
AT1G61860	AT1G61860.1	""	NA	Protein kinase superfamily protein
AT1G61870	AT1G61870.1	PPR336	NA	pentatricopeptide repeat 336
AT1G61890	AT1G61890.1	""	1	MATE efflux family protein
AT1G61900	AT1G61900.1	""	1	hypothetical protein
AT1G61920	AT1G61920.1	""	NA	transmembrane protein
AT1G61930	AT1G61930.1	""	NA	senescence regulator (Protein of unknown function, DUF584)
AT1G61940	AT1G61940.1	AtTLP4	NA	tubby like protein 4
AT1G61950	AT1G61950.1	CPK19	NA	calcium-dependent protein kinase 19
AT1G61960	AT1G61960.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G61970	AT1G61970.1	""	1	Mitochondrial transcription termination factor family protein
AT1G61980	AT1G61980.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G61990	AT1G61990.1	""	1	Mitochondrial transcription termination factor family protein
AT1G62000	AT1G62000.1	TBA1	NA	transmembrane protein
AT1G62010	AT1G62010.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62020	AT1G62020.1	""	1	Coatomer, alpha subunit
AT1G62030	AT1G62030.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT1G62040	AT1G62040.2	ATG8C	NA	Ubiquitin-like superfamily protein
AT1G62045	AT1G62045.1	""	NA	ankyrin repeat protein
AT1G62050	AT1G62050.1	""	NA	Ankyrin repeat family protein
AT1G62060	AT1G62060.1	TBA2	NA	transmembrane protein
AT1G62070	AT1G62070.1	""	NA	hypothetical protein
AT1G62080	AT1G62080.1	TBA3	NA	transmembrane protein
AT1G62085	AT1G62085.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62110	AT1G62110.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62120	AT1G62120.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62130	AT1G62130.1	""	0.707521	AAA-type ATPase family protein
AT1G62150	AT1G62150.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62160	AT1G62160.1	""	NA	Serine protease inhibitor (SERPIN) family protein
AT1G62170	AT1G62170.2	""	NA	Serine protease inhibitor (SERPIN) family protein
AT1G62180	AT1G62180.1	APR2	NA	5adenylylphosphosulfate reductase 2
AT1G62190	AT1G62190.1	""	NA	Kua-ubiquitin conjugating enzyme hybrid localization domain-containing protein
AT1G62200	AT1G62200.1	AtNPF8.5	1	Major facilitator superfamily protein
AT1G62210	AT1G62210.1	""	NA	hypothetical protein
AT1G62220	AT1G62220.1	""	NA	transmembrane protein
AT1G62225	AT1G62225.1	""	NA	transmembrane protein
AT1G62240	AT1G62240.1	""	NA	hypothetical protein
AT1G62250	AT1G62250.1	""	1	orotidine 5-phosphate decarboxylase
AT1G62260	AT1G62260.1	MEF9	NA	mitochondrial editing factor 9
AT1G62262	AT1G62262.1	SLAH4	NA	SLAC1 homologue 4
AT1G62270	AT1G62270.1	""	NA	F-box and associated interaction domains-containing protein
AT1G62280	AT1G62280.1	SLAH1	NA	SLAC1 homologue 1
AT1G62290	AT1G62290.1	AtPaspA2	NA	Saposin-like aspartyl protease family protein
AT1G62300	AT1G62300.1	ATWRKY6	1	WRKY family transcription factor
AT1G62305	AT1G62305.1	""	1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AT1G62310	AT1G62310.1	""	NA	transcription factor jumonji (jmjC) domain-containing protein
AT1G62320	AT1G62320.1	""	1	ERD (early-responsive to dehydration stress) family protein
AT1G62330	AT1G62330.1	""	1	O-fucosyltransferase family protein
AT1G62333	AT1G62333.1	""	NA	hypothetical protein
AT1G62340	AT1G62340.1	ALE	NA	PA-domain containing subtilase family protein
AT1G62350	AT1G62350.1	""	1	Pentatricopeptide repeat (PPR) superfamily protein
AT1G62360	AT1G62360.1	BUM	NA	KNOX/ELK homeobox transcription factor
AT1G62370	AT1G62370.1	""	NA	RING/U-box superfamily protein
AT1G62380	AT1G62380.1	ACO2	1	ACC oxidase 2
